
# IMU Configuration complete!
# IMU + GPS streaming started
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
IMU,1731,-0.090604,-0.243411,9.965647,-0.001358,-0.003116,-0.001465,48.810547,1008.809570,-999.301453
IMU,1735,-0.139307,-0.183693,9.918792,0.000107,-0.002450,-0.003995,80.988724,1015.547913,-980.343384
IMU,1749,-0.138994,-0.184784,9.983667,0.002903,0.002344,-0.000533,80.988724,1015.547913,-980.343384
IMU,1752,-0.122193,-0.211342,9.955359,0.000240,-0.001918,-0.002131,76.148361,1029.385986,-1042.831421
IMU,1766,-0.163700,-0.221314,9.950519,-0.002557,0.002077,0.003196,92.361595,1042.028687,-1019.111572
IMU,1780,-0.149141,-0.243559,9.958159,0.000906,0.001278,0.003063,65.291962,1028.480347,-1009.232849
IMU,1784,-0.178528,-0.260750,9.946289,0.000639,-0.000852,0.001332,69.367531,970.519897,-970.056702
IMU,1797,-0.158768,-0.213976,9.955226,0.003036,0.001412,-0.000400,107.624275,1003.896912,-1004.227966
IMU,1801,-0.165887,-0.197154,9.978936,-0.000293,0.000746,-0.002930,107.624275,1003.896912,-1004.227966
IMU,1815,-0.107489,-0.196522,9.957589,0.001305,-0.002583,-0.002530,75.591049,1009.429443,-999.404419
IMU,1819,-0.144000,-0.164314,9.937668,-0.003356,0.002344,-0.003995,75.591049,1009.429443,-999.404419
IMU,1832,-0.146944,-0.260241,9.924815,0.000639,0.001811,-0.002264,91.659348,1009.801331,-999.466248
IMU,1836,-0.171025,-0.218802,9.945637,-0.000559,-0.005913,0.002264,91.659348,1009.801331,-999.466248
IMU,1850,-0.134120,-0.179750,9.978804,-0.005620,0.000613,0.002530,123.837524,1016.539673,-980.508179
IMU,1854,-0.132090,-0.235922,9.948508,-0.002290,0.002743,0.000799,102.681664,1028.878418,-985.407593
IMU,1867,-0.144217,-0.258734,9.982453,-0.001891,0.006605,0.003596,70.276520,1015.299988,-980.302185
IMU,1871,-0.137128,-0.232873,9.912403,-0.002823,0.001145,0.001998,70.276520,1015.299988,-980.302185
IMU,1885,-0.158940,-0.228406,9.933843,-0.000027,-0.002450,-0.005593,96.437172,984.068298,-979.935425
IMU,1889,-0.151562,-0.198543,9.918976,-0.003223,-0.000586,0.003862,96.437172,984.068298,-979.935425
IMU,1902,-0.180981,-0.238167,9.921886,-0.003755,0.003809,-0.003063,91.659348,1009.801331,-999.466248
IMU,1906,-0.153911,-0.248957,9.984648,0.000639,-0.002583,-0.001199,91.659348,1009.801331,-999.466248
IMU,1920,-0.134756,-0.257679,9.922430,0.001305,-0.002184,0.003329,106.901428,971.575623,-979.788757
IMU,1923,-0.129799,-0.265458,9.946602,-0.004821,0.001545,-0.000133,106.901428,971.575623,-979.788757
IMU,1937,-0.139276,-0.236400,9.974904,-0.001092,-0.003649,-0.004794,65.251503,1039.905640,-942.306152
IMU,1941,-0.158836,-0.226264,9.953025,-0.003090,0.000080,0.002530,65.251503,1039.905640,-942.306152
IMU,1955,-0.185833,-0.238270,9.926668,0.003968,-0.004048,-0.000799,118.708763,1029.062378,-975.881592
IMU,1959,-0.076047,-0.245608,9.953742,-0.000959,-0.001784,-0.001598,118.708763,1029.062378,-975.881592
IMU,1972,-0.153854,-0.244147,9.991776,-0.003090,-0.000186,0.002264,69.655930,971.835205,-1037.171387
IMU,1976,-0.142024,-0.252862,9.927120,0.001971,-0.003382,-0.002131,69.655930,971.835205,-1037.171387
